item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus,Error
235663000000.0,Charles Woodson 2023 Panini Legacy #106 Oakland Raiders,1.5,,1.99,1.99,15.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=2) | Sold dropped (>> actives w/low N) | Active median A2",Updated successfully (business policy warning only),
335496000000.0,George Kittle 2023 Panini Legacy #87 San Francisco 49ers,1.5,2.0,2.0,2.0,8.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=1) | Active median A2",Updated successfully (business policy warning only),
336025000000.0,Lamar Jackson 2021 Panini Absolute Red Zone #RZ20 Baltimore Ravens,1.6,2.54,1.6,1.6,20.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
235635000000.0,Marshall Faulk 2001 Upper Deck Rookie F/X #71 St. Louis Rams HOF,1.99,3.64,1.99,1.99,6.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=1) | Active median A2",,
235697000000.0,Derek Jeter 2002 Fleer Triple Crown #2 New York Yankees,1.9,2.96,1.98,1.99,25.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=2) | Active median A2",,
235972000000.0,Albert Pujols 2020 Topps #497 Los Angeles Angels,1.5,,1.59,1.59,15.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=1) | Sold dropped (>> actives w/low N) | Active median A2",,
236014000000.0,Jose Canseco 2000 Fleer Impact Mighty Fine in '99 #38MF Tampa Bay Devil Rays,2.0,1.99,1.98,1.99,10.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
335468000000.0,Deion Sanders 1996 Playoff Prime #110 Dallas Cowboys,1.75,3.74,1.99,1.99,17.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",Updated successfully (business policy warning only),
335531000000.0,Derek Jeter 1998 Fleer Tradition Vintage #38 New York Yankees,2.0,3.5,2.74,2.75,17.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",Updated successfully (business policy warning only),
335810000000.0,Bryce Harper 2021 Donruss Optic Unleashed #UNL10 Philadelphia Phillies,2.0,4.5,1.99,1.99,23.0,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
