item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus,Error
3.35971E+11,Matt Harvey 2017 Topps Fire Monikers Gold Minted #M-27 New York Mets,3.9,3.9,3.2,3.2,4,"Browse BIN | Browse (Merged) | Active(A2,k=4) | Sold(A2,n=3) | Active median A2",Updated successfully (business policy warning only),
3.36025E+11,J.R. Richard 1979 Topps #203 Houston Astros,1.5,2.75,1.59,1.59,17,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",,
3.36079E+11,Mitchell Trubisky 2022 Donruss Premium Press Proof Gold #223 Pittsburgh Steelers,2.15,2.07,1.95,1.95,17,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
2.36399E+11,Don Mattingly 1989 Fleer For the Record #6 New York Yankees,1.72,2.02,1.69,1.69,21,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
3.36137E+11,Derek Jeter 1999 Upper Deck HoloGrFX #38 New York Yankees,2.5,4.05,1.99,1.99,27,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",Updated successfully (business policy warning only),
2.36066E+11,Kirby Puckett 1994 Collector's Choice #638 NM-MT OR BETTER Minnesota Twins,3.5,1.97,1.75,2.1,18,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2 | Drop capped 40% vs current",Updated successfully (business policy warning only),
3.35971E+11,Justin Verlander 2008 Upper Deck #492 Detroit Tigers,1.85,1.8,1.7,1.7,13,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
3.36025E+11,Amos Otis 1977 Topps #290 Kansas City Royals,1.65,3.65,1.65,1.65,18,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
3.36079E+11,T.J. Watt 2022 Donruss Premium Press Proof Gold #221 Pittsburgh Steelers,2.49,,1.85,1.85,12,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Sold dropped (>> actives w/low N) | Active median A2",Updated successfully (business policy warning only),
3.36079E+11,Robert Woods 2022 Donruss Premium Press Proof Gold #12 Tennessee Titans,1.99,1.99,1.99,1.99,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
3.35924E+11,Kirby Puckett 1987 Fleer #549 NM-MT OR BETTER Minnesota Twins,1.99,2.49,1.79,1.79,27,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",Updated successfully (business policy warning only),
3.35971E+11,Clayton Kershaw 2010 Bowman Platinum #74 Los Angeles Dodgers,1.75,1.99,1.79,1.79,19,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",,
3.36025E+11,Jim French 1971 Topps #399 Washington Senators,1.75,3.05,1.75,1.75,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",,
3.36137E+11,Derek Jeter 2000 Upper Deck HoloGrFX #87 New York Yankees,2.8,3.37,2.75,2.75,23,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=2) | Active median A2",,
3.36079E+11,Zach Wilson 2022 Donruss Premium Press Proof MINT Gold #142 New York Jets,1.95,1.99,1.79,1.79,13,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",,
3.3624E+11,James Harden 2022-23 Panini Select Green White Purple Prizm #25 76ers,1.99,3.35,1.98,1.99,19,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",,
2.36066E+11,Kirby Puckett 1995 Stadium Club Best Seat In The House #319 Minnesota Twins,1.9,2.49,1.9,1.9,10,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=2) | Active median A2",,
2.36215E+11,Bo Jackson 1990 Bo '90 Black Border STAINED on Back #NNO Los Angeles Raiders,1.75,1.75,2.29,2.29,8,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=1) | Active median A2",Updated successfully (business policy warning only),
3.35971E+11,Clayton Kershaw 2016 Topps Allen & Ginter #299 Los Angeles Dodgers,1.99,1.99,1.99,1.99,11,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=1) | Active median A2",,
3.36025E+11,Wes Parker 1971 Topps #430 Los Angeles Dodgers,1.79,3.87,1.98,1.99,11,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",Updated successfully (business policy warning only),
2.3628E+11,Derek Jeter 2002 Bowman Gold #2 New York Yankees HOF Legend,2.9,4.99,1.98,1.99,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",Updated successfully (business policy warning only),
2.36215E+11,Tony Pollard 2022 Donruss Premium Press Proof Gold #155 Dallas Cowboys,1.99,1.99,1.99,1.99,8,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",,
2.36113E+11,Noah Syndergaard 2019 Topps Fire Flamethrowers Gold Minted #FT-14 New York Mets,2.75,2.75,2.75,2.75,1,"Browse BIN | Browse (Merged) | Active(A2,k=1) | Sold(A2,n=1) | Active median A2",,
2.36399E+11,James Harden 2022-23 Panini Select Numbers #15 Philadelphia 76ers,1.69,1.79,1.79,1.79,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",,
3.35924E+11,Kirby Puckett 2004 Fleer Greats of the Game #68 NM-MT OR BETTER Minnesota Twins,2,,,,0,No solds | No actives | No data,,
3.36025E+11,Lamar Jackson 2019 Panini Prizm #71 Baltimore Ravens,6.57,9.25,7,7,5,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=2) | Active median A2",Updated successfully (business policy warning only),
3.36079E+11,Joe Mixon 2022 Donruss Premium Press Proof Gold #200 Cincinnati Bengals,1.6,1.84,1.69,1.69,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
3.36137E+11,Derek Jeter 2002 Fleer Triple Crown Diamond Immortality #1DI New York Yankees,3.7,3.84,3.7,3.7,5,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
2.36066E+11,Kirby Puckett 1996 Upper Deck #130 Minnesota Twins,1.95,2.29,1.96,1.95,15,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",,
2.36113E+11,National League Runs Batted In Leaders 2003 Topps #346,1.9,1.73,1.75,1.75,12,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=1) | Active median A2",,
2.36215E+11,Kadarius Toney 2022 Donruss Premium Press Proof Gold #160 New York Giants,1.7,1.84,1.99,1.99,10,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",Updated successfully (business policy warning only),
3.36025E+11,Nolan Ryan 1990 Donruss King of Kings #665 NM-MT OR BETTER,2.05,2.05,1.98,1.99,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",,
2.36215E+11,Kyle Pitts 2022 Donruss Premium Press Proof Gold #227 Atlanta Falcons,1.6,1.99,1.6,1.6,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
2.36399E+11,Jimmy Butler 2022-23 Panini Select Blue Prizm #108 Miami Heat,4.8,3.7,2.35,2.88,9,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=2) | Active median A2 | Drop capped 40% vs current",Updated successfully (business policy warning only),
2.36066E+11,Kirby Puckett 1989 Topps Hills Team MVP's #23 NM-MT OR BETTER Minnesota Twins,3.85,6.65,3.83,3.85,4,"Browse BIN | Browse (Merged) | Active(A2,k=4) | Sold(A2,n=1) | Active median A2",,
2.36113E+11,Willie Mays 1993 Upper Deck Baseball Heroes: Willie Mays #53 New York Giants,1.8,2.76,1.75,1.75,32,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",,
