item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,Note,UpdateStatus
335966460352,Santa Claus 1994 NFL Properties Christmas #NNO,2.95,2.95,2.95,2.95,Browse BIN | Browse BIN | Confidence 1.00,
335966460353,Barry Sanders 1994 Topps Special Effects #542 NM/MT Detroit Lions,10.5,10.5,,10.5,Browse BIN | Browse BIN | No actives | Confidence 0.33,
335966460354,Marshall Faulk / Barry Sanders 1994 Stadium Club Bowman's Best #19 NM+,7.59,6.17,,6.15,Browse BIN | Browse BIN | No actives | Confidence 0.67,Updated successfully (business policy warning only)
335966460355,Santa Claus 1994 NFL Properties Christmas #NNO,2.95,2.95,2.95,2.95,Browse BIN | Browse BIN | Confidence 1.00,
236108086935,Ja Morant 2024-25 Panini Prizm Prizms Red Wave #64 Memphis Grizzlies,5.1,5.12,,5.1,Browse BIN | Browse BIN | No actives | Confidence 0.67,
236108086936,Donovan Mitchell 2018-19 Panini Prizm Prizms Silver #143 Utah Jazz,2.79,4.99,2.78,2.79,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,
236108086937,Kevin Durant 2024-25 Panini Prizm Prizms Wave #187 Phoenix Suns,3.7,3.7,3.7,3.7,Browse BIN | Browse BIN | Confidence 1.00,
236108086938,Kris Bryant 2024 Topps Chrome Purple Speckle Refractors #179 /299 Rockies,4.5,,,,No solds | No actives | No data,
236108086939,Chris Paul 2005-06 Upper Deck Slam RC #93 New Orleans Hornets,6.7,7.74,4.0,4.02,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236108086940,Anthony McFarland Jr. 2020 Panini Mosaic RC Autographs Prizm Fusion Red #RA37,12.99,12.99,,12.99,Browse BIN | Browse BIN | No actives | Confidence 0.33,
236108086941,Armando Bacot 2024-25 Panini Prizm Rookie Signatures #RSI-ABJ Utah Jazz,6.15,7.57,6.15,6.15,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236108086942,Alexandre Sarr 2024-25 Panini Prizm RC #264 Washington Wizards,4.6,11.69,3.5,3.5,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236108086943,Mitchell Robinson 2024-25 Panini Prizms Choice Green #156 #/8 New York Knicks,23.8,,,,No solds | No actives | No data,
236108086945,Keenan Allen 2024 Donruss No Name Silver #71 Chicago Bears,10.7,11.47,10.7,10.7,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236108086946,Will Anderson Jr. 2024 Panini Prizm Blue Yellow and Green Scope #116 Texans,7.99,,,,No solds | No actives | No data,
236108086947,T.J. Hockenson 2024 Panini Prizm Black and White Checker #188 Minnesota Vikings,5.6,6.99,6.99,6.99,Browse BIN | Browse BIN | Confidence 1.00,Updated successfully (business policy warning only)
236108086948,Blake Griffin 2022-23 Hoops Green Rare SP Variation #13 #/99 Brooklyn Nets,5.99,,,,No solds | No actives | No data,
236108086949,Victor Wembanyama 2023-24 Hoops Haunted Hoops RC #108 San Antonio Spurs,3.45,10.5,3.0,3.0,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236108086950,Caleb Williams 2024 Panini Illusions Game Magicians #25 Chicago Bears,2.75,2.0,1.64,1.65,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236108086952,Chris Johnson 2023 Topps Composite Modern Artists Blue #MA-19 /99 Titans,5.15,,,,No solds | No actives | No data,
236108086953,Marvin Harrison Jr. 2024 Donruss Retro 2004 #23 Arizona Cardinals,1.75,2.08,1.79,1.79,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236108086954,Yuki Matsui 2024 Topps Chrome Update Prism Refractors #USC187 San Diego Padres,1.75,2.5,1.99,1.99,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236108086955,Tristan da Silva 2024-25 Panini Prizm Prizms Fast Break Disco #256 Magic,7.7,7.7,,7.7,Browse BIN | Browse BIN | No actives | Confidence 0.33,
236108086956,Kendre Miller 2023 Wild Card 5 Card Draw Stacked Deck Queen of Clubs Gold 1/1,2.99,,,,No solds | No actives | No data,
335966770634,Ed Oliver 2024 Panini Obsidian Silver #22 /75 Buffalo Bills,9.99,,,,No solds | No actives | No data,
335966770635,Dak Prescott 2021 Score Dots Red #51 /460 Dallas Cowboys,5.2,,,,No solds | No actives | No data,
