item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336066990502,DJ Moore 2021 Donruss Optic Holo #157 Carolina Panthers,1.5,3.75,1.5,1.5,15,Browse BIN | ActiveCache | Active median P1,
336066990503,Julio Jones 2020 Donruss Optic #10 Atlanta Falcons,1.65,9.94,1.49,1.5,13,Browse BIN | ActiveCache | Active median P1,
336066990504,Derek Jeter 2000 SkyBox Dominion #137 New York Yankees Legend HOF,2.05,2.94,2.0,2.0,3,Browse BIN | ActiveCache | Active median P1,
336066990505,Nico Collins 2022 Donruss Optic #79 Houston Texans,1.5,5.655,1.59,1.59,13,Browse BIN | ActiveCache | Active median P1,
336066990506,Derek Jeter 2001 Upper Deck #263 New York Yankees Legend HOF,2.65,3.13,2.37,2.39,1,Browse BIN | ActiveCache | Active median P1,
336066990507,Derek Jeter 1996 Score #384 New York Yankees Legend HOF,2.3,4.915,2.225,2.25,2,Browse BIN | ActiveCache | Active median P1,
336066990508,Derek Jeter ALCS (Yankees/Red Sox) 2000 Fleer Tradition #443 Legend HOF,2.05,1.99,2.0,2.0,2,Browse BIN | ActiveCache | Active median P1,
336066990509,Justin Tucker 2022 Zenith Red Zone #29 Baltimore Ravens,1.65,1.99,1.49,1.5,14,Browse BIN | ActiveCache | Active median P1,
336066990510,Deebo Samuel 2023 Panini Prestige Youth Movement #YM-12 San Francisco 49ers,1.8,4.0,1.69,1.69,12,Browse BIN | ActiveCache | Active median P1,
336066990511,Myles Gaskin 2021 Panini Illusions Teal Color Match #56 Miami Dolphins,2.2,2.35,2.2,2.2,1,Browse BIN | ActiveCache | Active median P1,
336066990512,Zay Jones 2018 Panini #34 Buffalo Bills,1.6,1.6,1.6,1.6,10,Browse BIN | ActiveCache | Active median P1,
336066990513,Micah Parsons 2021 Score #350 RC Penn State Nittany Lions,1.75,5.0,1.84,1.85,15,Browse BIN | ActiveCache | Active median P1,
336066990514,Derek Jeter 1996 Leaf Preferred Steel #40 New York Yankees Legend HOF,9.5,22.28,9.5,9.5,1,Browse BIN | ActiveCache | Active median P1,
336066990515,Zach Charbonnet 2023 Panini Chronicles Draft Picks Phoenix #20 UCLA Bruins,1.49,6.970000000000001,1.49,1.5,11,Browse BIN | ActiveCache | Active median P1,
336066990516,Bijan Robinson 2023 Panini Chronicles Draft Picks Phoenix #11 Texas Longhorns,1.5,7.245,1.5,1.5,13,Browse BIN | ActiveCache | Active median P1,
