item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336075948324,Brett Favre 1998 Bowman #125 Green Bay Packers HOF QB Legend,1.79,2.75,1.79,1.79,13,Browse BIN | ActiveCache | Active median P1,
336075948325,Ben Roethlisberger 2022 Donruss Premium Press Proof #224 MINT Steelers QB,2.05,2.69,2.18,2.19,9,Browse BIN | ActiveCache | Active median P1,
236214673456,Ronnie Lott 2022 Donruss Premium Press Proof MINT Gold #29 San Francisco 49ers,2.4,,,,0,No solds | No actives | No data,
236214673457,Eric Dickerson 2022 Donruss Premium Press Proof Gold #14 MINT Los Angeles Rams,1.9,1.99,1.99,1.99,10,Browse BIN | ActiveCache | Active median P1,
236214673458,Bo Jackson 1990 Classic Update #T25 Kansas City Royals,1.95,2.95,1.95,1.95,15,Browse BIN | ActiveCache | Active median P1,
236214673459,Kobe Bryant 2012-13 Panini Kobe Anthology #72 Los Angeles Lakers HOF Legend,5.99,5.98,5.98,5.99,1,Browse BIN | ActiveCache | Active median P1,
236214673460,Kobe Bryant 2003-04 SP Authentic #35 Los Angeles Lakers HOF Legend Black Mamba,5.72,,,,0,No solds | No actives | No data,
236214673461,Kobe Bryant 2003-04 Topps #36 Los Angeles Lakers HOF Legend Black Mamba,9.0,9.0,,9.0,0,Browse BIN | No actives | Sold median P1,
236214673462,Carson Palmer 2022 Donruss Premium Press Proof Gold #205 Cincinnati Bengals,1.99,1.99,1.99,1.99,9,Browse BIN | ActiveCache | Active median P1,
236214673463,Bo Jackson 2022 Stadium Club #95 Kansas City Royals,2.19,2.7,2.19,2.19,10,Browse BIN | ActiveCache | Active median P1,
236214673464,Bo Jackson 1990 Light Blue Dark Blue Border #NNO Kansas City Royals,2.25,3.7,2.25,2.25,15,Browse BIN | ActiveCache | Active median P1,
236214673465,Austin Ekeler 2022 Donruss Premium Press Proof Gold #295 Los Angeles Chargers,1.99,1.99,1.99,1.99,8,Browse BIN | ActiveCache | Active median P1,
236214673467,Carson Wentz 2022 Donruss Premium Press Proof MINT Gold#52 Washington Commanders,2.99,2.99,2.99,2.99,3,Browse BIN | ActiveCache | Active median P1,
236214673468,Los Angeles Lakers 1997-98 Collector's Choice #168 Shaq Kobe HOF MVP Legends,2.49,2.3600000000000003,2.4850000000000003,2.49,2,Browse BIN | ActiveCache | Active median P1,
236214673470,Michael Pittman Jr. 2022 Donruss Premium Press Proof #48 Indianapolis Colts,1.99,1.99,1.99,1.99,9,Browse BIN | ActiveCache | Active median P1,
236214673471,Dalton Schultz 2022 Donruss Premium Press Proof Gold #152 Dallas Cowboys,1.99,1.99,1.99,1.99,9,Browse BIN | ActiveCache | Active median P1,
236214673472,Bo Jackson 1990 Score #697 Bo Knows Raiders Royals Iconic Card NM-MT,13.99,18.99,13.98,13.99,15,Browse BIN | ActiveCache | Active median P1,
236214673473,Kobe Bryant Shaq 1997-98 Upper Deck #343 Los Angeles Lakers HOF Legend,3.95,3.94,3.94,3.95,3,Browse BIN | ActiveCache | Active median P1,
236214673474,Nick Bolton 2022 Donruss Premium Press Proof Gold #277 Kansas City Chiefs,1.85,1.99,1.85,1.85,11,Browse BIN | ActiveCache | Active median P1,
236214673475,DK Metcalf 2022 Donruss Premium Press Proof Gold #30 Seattle Seahawks,1.7,1.99,1.75,1.75,11,Browse BIN | ActiveCache | Active median P1,
236214673476,Juan Thornhill 2022 Donruss Premium Press Proof Gold #279 Kansas City Chiefs,1.99,1.99,1.99,1.99,7,Browse BIN | ActiveCache | Active median P1,
236214673477,Nico Collins 2022 Donruss Premium Press Proof Gold #40 MINT Houston Texans,1.99,1.99,1.99,1.99,10,Browse BIN | ActiveCache | Active median P1,
236214673478,Younghoe Koo 2022 Donruss Premium Press Proof Gold #233 MINT Atlanta Falcons,1.99,1.99,1.99,1.99,10,Browse BIN | ActiveCache | Active median P1,
