item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236047253854,Grant Hill 1995-96 Hoops #46 Detroit Pistons,1.55,3.045,3.045,1.95,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236047253855,Latrell Sprewell 1993-94 Stadium Club #294 Golden State Warriors,1.95,2.48,1.99,1.99,6,Browse BIN | Browse BIN (Tier1) | Active median P1,
236047253856,Antonio McDyess 2002-03 Hoops Hot Prospects #54 New York Knicks,1.95,1.98,1.98,1.99,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
236047253857,Stephon Marbury 2003-04 SPx #66 Phoenix Suns,1.75,2.0,2.0,2.0,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236047253858,Glen Rice 1998-99 Bowman's Best #25 Los Angeles Lakers,1.9,3.2350000000000003,,2.3,0,Browse BIN | No actives | Sold median P1,Updated successfully (business policy warning only)
236047253859,Latrell Sprewell 1997-98 Topps #51 Golden State Warriors,1.75,1.72,1.72,1.7,2,Browse BIN | Browse BIN (Tier1) | Active median P1,
236047253864,Jusuf Nurkic 2014-15 SPx #60 Cedevita Zagreb,1.7,5.94,3.98,2.1,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236047253865,Stephon Marbury 1998-99 Bowman's Best #76 New Jersey Nets,1.59,2.62,2.62,1.99,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236047253866,Grant Hill 2005-06 SPx #63 Orlando Magic,1.9,1.95,,1.95,0,Browse BIN | No actives | Sold median P1,
236047253868,Jerry Stackhouse 2012-13 Panini Past & Present #49 Brooklyn Nets,1.8,2.195,,2.19,0,Browse BIN | No actives | Sold median P1,Updated successfully (business policy warning only)
236047253869,Allan Houston 1999-00 Bowman's Best #35 New York Knicks,1.69,3.08,,2.09,0,Browse BIN | No actives | Sold median P1,Updated successfully (business policy warning only)
236047253872,Jason Kidd 2006-07 Upper Deck Rookie Debut #58 New Jersey Nets,1.9,2.24,2.24,2.25,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
