item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236265291303,Jake Scott 1979 Topps #456 Washington Redskins,1.5,2.59,1.75,1.75,11,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291304,Ron Johnson 1979 Topps #351 RC Pittsburgh Steelers,1.95,2.74,2.39,2.35,14,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980188,Willie Miller 1979 Topps #435 RC Los Angeles Rams,1.75,2.99,1.99,1.99,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980189,Clarence Davis 1979 Topps #439 Oakland Raiders,1.5,4.61,1.79,1.79,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980190,Ron Yary 1979 Topps #298 Minnesota Vikings,1.5,2.995,1.91,1.9,11,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980191,Roy Gerela 1979 Topps #430 Pittsburgh Steelers,1.7,2.53,1.74,1.75,13,Browse BIN | Browse BIN (Tier1) | Active median P1,
336123980192,Bennie Cunningham 1979 Topps #124 Pittsburgh Steelers,1.7,3.125,2.29,2.1,11,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980193,Willie Miller 1979 Topps #435 RC Los Angeles Rams,1.75,2.99,1.99,1.99,15,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
336123980194,Chuck Foreman 1979 Topps #100 Minnesota Vikings,1.53,3.61,2.59,1.93,11,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980196,Andy Johnson 1979 Topps #281 New England Patriots,1.5,3.4000000000000004,1.94,1.9,10,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980198,Willie Hall 1979 Topps #235 Oakland Raiders,1.5,4.96,2.11,1.9,9,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980200,Lawrence McCutcheon 1979 Topps #265 Los Angeles Rams,1.7,2.87,1.79,1.79,9,Browse BIN | Browse BIN (Tier1) | Active median P1,
336123980202,Conrad Dobler 1979 Topps #103 New Orleans Saints,1.75,3.81,1.89,1.89,12,Browse BIN | Browse BIN (Tier1) | Active median P1,
336123980204,Ken Houston 1979 Topps #350 Washington Redskins,1.7,2.6900000000000004,1.89,1.89,8,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980206,Cornell Webster 1979 Topps #349 RC Seattle Seahawks,1.7,2.99,1.99,1.99,9,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980207,Larry Brown 1979 Topps #84 Pittsburgh Steelers,1.7,3.61,2.29,2.1,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336123980209,Roy Gerela 1979 Topps #430 Pittsburgh Steelers,1.7,2.53,1.74,1.75,13,Browse BIN | ActiveCache | Active median P1,
236265291306,Jake Scott 1979 Topps #456 Washington Redskins,1.5,2.59,1.75,1.75,11,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291307,Ron Johnson 1979 Topps #351 RC Pittsburgh Steelers,1.95,2.74,2.39,2.35,14,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291309,Raymond Chester 1979 Topps #189 Oakland Raiders,1.5,4.61,1.75,1.75,14,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291310,Raymond Chester 1979 Topps #189 Oakland Raiders,1.5,4.61,1.75,1.75,14,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291312,Jake Scott 1979 Topps #456 Washington Redskins,1.5,2.59,1.75,1.75,11,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291313,Jake Scott 1979 Topps #456 Washington Redskins,1.5,2.59,1.75,1.75,11,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291314,Mike Barber 1979 Topps #37 RC Houston Oilers,1.7,2.49,1.69,1.69,14,Browse BIN | Browse BIN (Tier1) | Active median P1,
236265291315,John Stallworth 1979 Topps #450 Pittsburgh Steelers HOF,2.85,2.81,2.49,2.49,13,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291318,Rich Saul 1979 Topps #346 Los Angeles Rams,1.5,2.6900000000000004,2.39,1.9,8,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291320,John McDaniel 1979 Topps #91 Washington Redskins,1.5,2.44,2.44,1.9,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291321,Julius Adams 1979 Topps #242 New England Patriots,1.5,2.49,1.94,1.9,10,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291323,John Matuszak 1979 Topps #108 Oakland Raiders,1.9,2.4850000000000003,2.27,2.29,11,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291324,Chris Hanburger 1979 Topps #375 Washington Redskins,1.85,3.42,2.39,2.25,7,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291325,Sherman Smith 1979 Topps #294 Seattle Seahawks,1.7,2.4400000000000004,1.94,1.95,11,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291326,Mike Bragg 1979 Topps #396 Washington Redskins,1.7,2.99,2.59,2.1,5,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291327,Bill Lenkaitis 1979 Topps #116 New England Patriots,1.5,2.87,2.29,1.9,13,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291328,Coy Bacon 1979 Topps #215 Washington Redskins,1.55,2.59,2.59,1.95,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291329,Ken Burrough 1979 Topps #164 Houston Oilers,1.5,2.99,1.91,1.9,10,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291330,Ron Jessie 1979 Topps #45 Los Angeles Rams,1.5,3.35,1.99,1.9,13,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291331,Joe Theismann 1979 Topps #155 Washington Redskins HOF,3.0,3.99,1.99,1.99,9,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291332,Coy Bacon 1979 Topps #215 Washington Redskins,1.55,2.59,2.59,1.95,1,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291333,Danny Buggs 1979 Topps #528 Washington Redskins,1.75,2.99,2.39,2.15,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291334,Julius Adams 1979 Topps #242 New England Patriots,1.5,2.49,1.94,1.9,10,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291337,Al Baker 1979 Topps #75 RC Detroit Lions,1.7,5.31,2.29,2.1,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236265291338,Chris Hanburger 1979 Topps #375 Washington Redskins,1.85,3.42,2.39,2.25,7,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291339,Sherman Smith 1979 Topps #294 Seattle Seahawks,1.7,2.4400000000000004,1.94,1.95,11,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291340,John Stallworth 1979 Topps #450 Pittsburgh Steelers HOF,2.85,2.81,2.49,2.49,13,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236265291342,Benny Malone 1979 Topps #196 Washington Redskins,1.5,2.655,2.29,1.9,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
