item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336228694218,Alex Rodriguez 1996 Select Certified Red #6 Seattle Mariners,29.99,29.995,29.995,29.99,2,Browse BIN | Browse BIN (Tier1) | Active median P1,
336228694215,Don Mattingly 1993 Studio #193 NM-MT OR BETTER New York Yankees,2.6,2.675,2.6,2.6,5,Browse BIN | Browse BIN (Tier1) | Active median P1,
336228694210,Alex Rodriguez 1997 Pacific Prism Invincible Gems of the Diamond #GD-91 Mariners,2.99,3.985,3.985,2.99,2,Browse BIN | Browse BIN (Tier1) | Active median P1,
336228694191,John Odom 1969 Topps #195 Oakland Athletics Near Mint Amazing Color!,4.31,3.99,2.25,2.25,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336223709363,Alex Rodriguez 1997 Score Showcase Series #507 Seattle Mariners,8.95,8.95,,8.95,0,Browse BIN | No actives | Sold median P1,
336223709378,Jose Canseco 1994 Score #61 Texas Rangers,3.25,3.25,3.25,3.25,3,Browse BIN | Browse BIN (Tier1) | Active median P1,
236384193359,Alex Rodriguez 2004 MLB Showdown Promos #P71 NM-MT OR BETTER New York Yankees,25.35,25.35,25.35,25.35,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
335888442791,Roger Clemens Yankees vs. White Sox 2002 Topps United We Stand #361,2.99,2.99,2.99,2.99,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
236400696280,Brett Favre 1997 Topps Season's Best Air Command #4 Green Bay Packers,3.29,4.99,4.0,4.0,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236466047061,Scottie Pippen 1993-94 SkyBox Premium Air Raid #321 Chicago Bulls,2.5,,,,0,No solds | No actives | No data,
336228694218,Alex Rodriguez 1996 Select Certified Red #6 Seattle Mariners,29.99,29.995,29.995,29.99,2,Browse BIN | Browse BIN (Tier1) | Active median P1,
336228694215,Don Mattingly 1993 Studio #193 NM-MT OR BETTER New York Yankees,2.6,2.675,2.6,2.6,5,Browse BIN | Browse BIN (Tier1) | Active median P1,
336228694210,Alex Rodriguez 1997 Pacific Prism Invincible Gems of the Diamond #GD-91 Mariners,2.99,3.9850000000000003,3.9850000000000003,2.99,2,Browse BIN | Browse BIN (Tier1) | Active median P1,
336228694191,John Odom 1969 Topps #195 Oakland Athletics Near Mint Amazing Color!,4.31,3.99,2.25,2.25,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336223709363,Alex Rodriguez 1997 Score Showcase Series #507 Seattle Mariners,8.95,8.95,,8.95,0,Browse BIN | No actives | Sold median P1,
336223709378,Jose Canseco 1994 Score #61 Texas Rangers,3.25,3.25,3.25,3.25,3,Browse BIN | Browse BIN (Tier1) | Active median P1,
236384193359,Alex Rodriguez 2004 MLB Showdown Promos #P71 NM-MT OR BETTER New York Yankees,25.35,25.35,25.35,25.35,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
335888442791,Roger Clemens Yankees vs. White Sox 2002 Topps United We Stand #361,2.99,2.99,2.99,2.99,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
236400696280,Brett Favre 1997 Topps Season's Best Air Command #4 Green Bay Packers,3.29,4.99,4.0,4.0,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236466047061,Scottie Pippen 1993-94 SkyBox Premium Air Raid #321 Chicago Bulls,2.5,,,,0,No solds | No actives | No data,
336288602341,Robert Parish 1978-79 Topps #86 Golden State Warriors,15.0,23.7,15.0,15.0,7,Browse BIN | Browse BIN (Tier1) | Active median P1,
236079747876,Shohei Ohtani 2022 Bowman's Best Bowman Masterpiece #BM-4 Los Angeles Angels,6.4,7.62,6.4,6.4,10,Browse BIN | Browse BIN (Tier1) | Active median P1,
336288599489,Zach Randolph 2001-02 Topps Heritage RC #158 Portland Trail Blazers,5.4,5.41,5.41,5.4,2,Browse BIN | Browse BIN (Tier1) | Active median P1,
