item_id,Error,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336228694218,name 'item_id' is not defined,,,,,,,,
336228694215,name 'item_id' is not defined,,,,,,,,
336228694210,name 'item_id' is not defined,,,,,,,,
336228694191,name 'item_id' is not defined,,,,,,,,
336223709363,name 'item_id' is not defined,,,,,,,,
336223709378,name 'item_id' is not defined,,,,,,,,
236384193359,name 'item_id' is not defined,,,,,,,,
335888442791,name 'item_id' is not defined,,,,,,,,
236400696280,name 'item_id' is not defined,,,,,,,,
236466047061,,Scottie Pippen 1993-94 SkyBox Premium Air Raid #321 Chicago Bulls,2.5,,,,0.0,No solds | No actives | No data,
336228694218,name 'item_id' is not defined,,,,,,,,
336228694215,name 'item_id' is not defined,,,,,,,,
336228694210,name 'item_id' is not defined,,,,,,,,
336228694191,name 'item_id' is not defined,,,,,,,,
336223709363,name 'item_id' is not defined,,,,,,,,
336223709378,name 'item_id' is not defined,,,,,,,,
236384193359,name 'item_id' is not defined,,,,,,,,
335888442791,name 'item_id' is not defined,,,,,,,,
236400696280,name 'item_id' is not defined,,,,,,,,
236466047061,,Scottie Pippen 1993-94 SkyBox Premium Air Raid #321 Chicago Bulls,2.5,,,,0.0,No solds | No actives | No data,
336288602341,name 'item_id' is not defined,,,,,,,,
236079747876,name 'item_id' is not defined,,,,,,,,
336288599489,name 'item_id' is not defined,,,,,,,,
