item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336233009128,Peyton Manning 1999 Upper Deck Quarterback Class #QC13 Indianapolis Colts,1.99,5.615,1.99,1.99,13,Browse BIN | Browse BIN (Tier1) | Active median P1,
336233009130,Peyton Manning 2009 Bowman Chrome #12 Indianapolis Colts,2.0,2.495,2.0,2.0,7,Browse BIN | Browse BIN (Tier1) | Active median P1,
336233009132,Peyton Manning 2022 Donruss #57 Indianapolis Colts,2.99,,2.39,2.39,2,No solds | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233009134,Peyton Manning 2006 Playoff NFL Playoffs #45 Indianapolis Colts,1.9,1.79,,1.79,0,Browse BIN | No actives | Sold median P1,
236389636198,Peyton Manning 2000 Metal #16 Indianapolis Colts,3.99,3.99,3.99,3.99,3,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389636199,Peyton Manning 1999 Pacific Aurora Championship Fever #9 Indianapolis Colts,4.0,4.0,4.0,4.0,5,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389636200,Peyton Manning 2001 Upper Deck #68 Indianapolis Colts,1.8,2.09,1.69,1.69,6,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389636201,Peyton Manning 1999 Stadium Club Never Compromise #NC12 Indianapolis Colts,4.3,4.3,2.99,2.99,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233009139,Peyton Manning 2014 Panini Rookies & Stars #14 Denver Broncos,1.8,1.99,5.39,5.39,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233009140,Peyton Manning 1999 Upper Deck PowerDeck #PD7 Indianapolis Colts,7.4,12.49,8.0,8.0,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233009141,Peyton Manning 2013 Topps #200 Denver Broncos,1.85,3.25,1.5,1.5,14,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233009142,Peyton Manning 2012 Panini Rookies & Stars #62 Denver Broncos,2.35,3.19,3.19,3.19,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665949,Peyton Manning 1999 Upper Deck HoloGrFX #23 Indianapolis Colts,2.8,4.53,4.19,4.19,8,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665950,Peyton Manning 2008 Leaf Certified Materials #54 Indianapolis Colts,5.0,2.345,2.0,3.49,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665951,Peyton Manning 1999 Fleer Tradition Red Foil #2 Indianapolis Colts,2.5,3.25,2.5,2.5,5,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389665952,Peyton Manning 2005 Topps Chrome #136 Indianapolis Colts,1.9,3.49,2.99,2.99,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665953,Peyton Manning 2007 Playoff Prestige #66 Indianapolis Colts,1.7,1.99,1.99,1.99,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665954,Peyton Manning 2001 Upper Deck Vintage #70 Indianapolis Colts,1.65,4.19,4.19,4.19,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665955,Peyton Manning 2022 Panini Select Draft Picks Red Lazer Prizm #161,2.25,2.975,2.95,2.95,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665956,Peyton Manning 2005 Topps #203 Indianapolis Colts,2.12,2.99,1.89,1.89,11,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665957,Peyton Manning 2011 Topps Prime #100 Indianapolis Colts,2.05,1.975,1.95,1.95,5,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389665958,Peyton Manning 2017 Panini Select #146 Indianapolis Colts,2.95,2.95,5.99,5.99,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665960,Peyton Manning 2016 Panini Prizm Collegiate Draft Picks #81 Tennessee Volunteers,2.4,2.34,,2.35,0,Browse BIN | No actives | Sold median P1,
236389665963,Peyton Manning 2016 Panini #176 Denver Broncos,1.65,2.99,2.99,2.99,5,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665964,Peyton Manning 2020 Panini Contenders Draft Picks #81 Tennessee Volunteers,1.95,1.995,1.99,1.99,5,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389665965,Peyton Manning 2016 Panini Prizm #125 Indianapolis Colts,7.1,3.0,3.28,4.26,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665966,Peyton Manning 1999 Flair Showcase Row 1 #18 Indianapolis Colts,2.8,,,,0,No solds | No actives | No data,
236389665967,Peyton Manning 2012 Topps #350 Denver Broncos,1.7,2.99,1.98,1.99,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665968,Peyton Manning 2008 Playoff Absolute Memorabilia Retail #64 Indianapolis Colts,2.2,2.0,2.0,2.0,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389665969,Peyton Manning 2001 Topps Gallery #4 Indianapolis Colts,2.2,4.19,4.19,4.19,5,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236389665970,Peyton Manning 2006 Upper Deck 3000 Yard Passing Club #3KP-PM Indianapolis Colts,1.9,3.29,1.84,1.85,10,Browse BIN | Browse BIN (Tier1) | Active median P1,
236389665971,Peyton Manning / Marshall Faulk 1999 Score #272 Indianapolis Colts,2.35,4.87,3.24,3.25,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233038585,Peyton Manning 2003 UD Patch Collection #1 Indianapolis Colts,2.1,2.125,,2.1,0,Browse BIN | No actives | Sold median P1,
336233038586,Peyton Manning 2019 Panini Prizm #142 Indianapolis Colts,2.5,2.99,2.0,2.0,5,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233038587,Peyton Manning 2004 Fleer Platinum #105 Indianapolis Colts,1.75,2.415,2.24,2.25,8,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233038588,Peyton Manning 1999 Donruss #196 Indianapolis Colts,1.95,1.98,1.9,1.9,9,Browse BIN | Browse BIN (Tier1) | Active median P1,
336233038589,Peyton Manning 1998 Collector's Edge Odyssey Galvanized Level 1 #212 Colts,15.0,15.0,,15.0,0,Browse BIN | No actives | Sold median P1,
336233038590,Peyton Manning 2000 Pacific Aurora #59 Indianapolis Colts,1.95,1.74,1.74,1.75,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233038592,Peyton Manning 2006 Topps #288 Indianapolis Colts,1.65,1.99,1.95,1.95,8,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233038593,Peyton Manning 2005 Upper Deck Kickoff #37 Indianapolis Colts,1.5,2.24,2.24,2.25,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336233038595,Peyton Manning 2002-03 UD SuperStars #106 Indianapolis Colts,1.79,1.79,,1.79,0,Browse BIN | No actives | Sold median P1,
336233038598,Peyton Manning 2015 Donruss Elite #4 Denver Broncos,2.5,1.85,,1.85,0,Browse BIN | No actives | Sold median P1,Updated successfully (business policy warning only)
