item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus,Error
336036087720,Barry Sanders 1997 Pro Line Memorabilia #MEM15 Detroit Lions,2.35,2.34,2.34,2.35,1.0,Browse BIN | Browse BIN (Tier1) | Active median P1,,
336036087721,Barry Sanders 1991 Pro Set #502 Detroit Lions,1.65,1.87,1.67,1.65,10.0,Browse BIN | Browse BIN (Tier1) | Active median P1,,
336036087722,Lamar Jackson 2023 Donruss Highlights #H-LJ Baltimore Ravens,1.6,2.31,1.6,1.6,7.0,Browse BIN | Browse BIN (Tier1) | Active median P1,,
336036087723,Barry Sanders 1991 Wild Card #89 Detroit Lions,2.05,1.53,2.48,2.49,3.0,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only),
336036087724,U.S. Troops Watch Super Bowl XXV 1991 Pro Set #351,1.55,1.96,1.75,1.75,8.0,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only),
336036087725,Lamar Jackson 2020 Score Deep Dive #DD-LJ Baltimore Ravens,1.55,2.245,1.55,1.55,10.0,Browse BIN | Browse BIN (Tier1) | Active median P1,,
336036087726,Lamar Jackson 2021 Donruss Optic #128 Baltimore Ravens,1.85,,1.99,1.99,5.0,No solds | Browse BIN (Tier1) | Active median P1,,
336036087727,Barry Sanders 1994 Action Packed Warp Speed #WS2 Detroit Lions,4.25,2.66,2.03,2.55,5.0,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only),
236168861484,Jerry Rice 1991 Pinnacle #103 San Francisco 49ers,1.55,1.985,1.98,1.99,7.0,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only),
236168861485,Barry Sanders 1995 Collector's Choice #31 Detroit Lions,1.5,2.0,1.79,1.79,13.0,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only),
236168861486,Barry Sanders 2000 Donruss #55 Detroit Lions,1.7,1.9,1.75,1.75,10.0,Browse BIN | Browse BIN (Tier1) | Active median P1,,
236168861488,Jerry Rice 1995 Pinnacle Zenith #Z57 San Francisco 49ers HOF Legend,1.75,1.75,2.775,2.79,2.0,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only),
