item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236180640826,Bo Jackson 1990 Donruss #61 Kansas City Royals,1.75,2.88,1.69,1.69,12,Browse BIN | ActiveCache (Merged) | Active median P1,
236184649030,Bo Jackson 1990 Score #10 Los Angeles Raiders,1.69,3.25,1.69,1.69,19,Browse BIN | ActiveCache (Merged) | Active median P1,
336036092806,Jerry Rice 1991 Score #665 San Francisco 49ers,1.75,2.6,1.74,1.75,16,Browse BIN | ActiveCache (Merged) | Active median P1,
336036090341,Barry Sanders 1991 Upper Deck #401 NM-MT OR BETTER Detroit Lions,1.75,3.0,1.75,1.75,22,Browse BIN | ActiveCache (Merged) | Active median P1,
336036090326,Barry Sanders 1991 Ultra #169 Detroit Lions,1.75,3.0,1.75,1.75,23,Browse BIN | ActiveCache (Merged) | Active median P1,
336036090313,Barry Sanders 1995 Upper Deck #94 Detroit Lions,1.79,2.99,1.79,1.79,21,Browse BIN | ActiveCache (Merged) | Active median P1,
236168861526,Jerry Rice 1993 Select #21 San Francisco 49ers,1.79,2.37,1.79,1.79,18,Browse BIN | ActiveCache (Merged) | Active median P1,
336045998206,Aaron Rodgers 2023 Panini Mosaic National Pride #253 New York Jets,8.28,2.24,1.79,4.97,17,Browse BIN | ActiveCache (Merged) | Active median P1,Updated successfully (business policy warning only)
236168861531,Barry Sanders 1991 Upper Deck #458 Detroit Lions,1.5,3.0,1.6,1.6,23,Browse BIN | ActiveCache (Merged) | Active median P1,
336072595230,Barry Sanders 1993 Score #1 NM-MT OR BETTER Detroit Lions,1.75,1.99,1.75,1.75,9,Browse BIN | Browse (Merged) | Active median P1,
236291712035,Ken Griffey Jr. 1994 O-Pee-Chee #22 Seattle Mariners HOF Legend,2.35,3.24,2.35,2.35,16,Browse BIN | Browse (Merged) | Active median P1,
236389555092,Joe Montana Team Checklist 1993 Upper Deck #KC25 Kansas City Chiefs,5.99,5.99,5.99,5.99,1,Browse BIN | Browse (Merged) | Active median P1,
335958136170,Dan Marino 1995 Pacific Prisms Connections #RC-2a Miami Dolphins,8.99,,1.99,5.39,1,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335888515876,Roger Clemens 2006 Topps Rookie of the Week #3 Boston Red Sox,2.0,2.4,1.84,1.85,23,Browse BIN | Browse (Merged) | Active median P1,
236419169665,Emmitt Smith 1996 Stadium Club Photo Gallery #PG1 Dallas Cowboys,4.99,4.99,4.99,4.99,9,Browse BIN | Browse (Merged) | Active median P1,
236364818653,Jose Canseco 1994 O-Pee-Chee #169 NM-MT OR BETTER Texas Rangers,3.0,3.74,2.98,2.99,4,Browse BIN | Browse (Merged) | Active median P1,
236352211399,Karl Malone 1997-98 Fleer Decade of Excellence #6 Utah Jazz,6.09,6.09,6.09,6.09,4,Browse BIN | Browse (Merged) | Active median P1,
236148469174,Bo Jackson 1990 M.V.P. Bo Jackson (unlicensed) #9 NM-MT+ Los Angeles Raiders,2.5,3.25,2.65,2.65,11,Browse BIN | Browse (Merged) | Active median P1,
236123914785,Will Clark 1993 Topps Gold #10 NM-MT OR BETTER San Francisco Giants,2.2,1.96,1.79,1.79,10,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236419171695,Emmitt Smith 2000 Ultra Gold Medallion #40G Dallas Cowboys,2.05,7.0,2.99,2.99,16,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236146941743,Bo Jackson / Bart Simpson 1990 Bart Knows Gray (unlicensed) #NNO,3.99,4.7,3.98,3.99,13,Browse BIN | Browse (Merged) | Active median P1,
236389636189,Peyton Manning 1999 Topps Gold Label #61 Indianapolis Colts,4.4,4.99,4.43,4.45,19,Browse BIN | Browse (Merged) | Active median P1,
335971265945,Emmitt Smith 1995 Topps Mystery Finest #NNO MINT Dallas Cowboys,6.0,,2.93,3.6,12,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236409494999,Emmitt Smith 1992 Pacific Pacific Picks the Pros Silver #20 Dallas Cowboys,8.7,,2.99,5.22,6,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336255877971,Emmitt Smith 1993 Topps #120 Dallas Cowboys Legend HOF,1.6,1.81,1.73,1.75,9,Browse BIN | Browse (Merged) | Active median P1,
236409499375,Emmitt Smith 1998 Topps Stars Silver Star SN #63 #/3999 Dallas Cowboys,5.0,5.0,2.09,3.49,14,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335888537534,Roger Clemens 1987 Topps Record Breaker #1 NM-MT OR BETTER Boston Red Sox,1.75,,1.75,1.75,20,Browse BIN | Browse (Merged) | Active median P1,
236409499370,Emmitt Smith 2000 Topps Chrome Season Highlights #198,2.49,2.94,2.09,2.09,15,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335935412241,Rickey Henderson 1990 Bowman #457 Oakland Athletics,1.5,2.05,1.65,1.65,21,Browse BIN | Browse (Merged) | Active median P1,
236220817200,Jerry Rice 1994 Ultra Ultra Achievement Awards #5 San Francisco 49ers,1.65,2.75,1.74,1.75,33,Browse BIN | Browse (Merged) | Active median P1,
236398857661,Zion Williamson 2022-23 Panini Chronicles #190 New Orleans Pelicans,1.59,2.79,1.74,1.75,16,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236247201865,Barry Bonds 1991 Ultra #275 Pittsburgh Pirates Home Run King MVP,1.9,2.99,1.9,1.9,13,Browse BIN | Browse (Merged) | Active median P1,
236268663521,Christian McCaffrey 2020 Panini Contenders Draft Picks #17 Stanford Cardinal,1.99,2.1,1.75,1.75,23,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
235978975692,Magic Johnson 1990-91 Hoops #367 Los Angeles Lakers,1.59,2.67,1.69,1.69,20,Browse BIN | Browse (Merged) | Active median P1,
235998265530,Nolan Ryan 1991 Leaf #423 Texas Rangers,1.5,3.0,1.6,1.6,19,Browse BIN | Browse (Merged) | Active median P1,
236360992859,Nolan Ryan 1987 Topps #757 MINT Houston Astros HOF Legend,13.39,,1.73,8.03,13,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336084148014,Jerry Rice 1999 Sports Illustrated Covers #29 San Francisco 49ers,11.1,1.99,1.99,6.66,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236065948114,Kirby Puckett 1989 Topps Doubleheader All-Stars #NNO RARE Minnesota Twins,23.75,1.94,1.89,14.25,2,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236223637346,Jerry Rice 1994 Collector's Choice #348 NM-MT OR BETTER San Francisco 49ers,2.0,1.99,1.99,1.99,8,Browse BIN | Browse (Merged) | Active median P1,
236334498546,Joe Montana 1991 Stadium Club #327 NM-MT OR BETTER San Francisco 49ers,2.25,3.75,2.25,2.25,17,Browse BIN | Browse (Merged) | Active median P1,
236076428662,Rickey Henderson 2002 Fleer Tradition #294 NM-MT OR BETTER San Diego Padres,2.45,3.06,1.99,1.99,5,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336035801271,Pedro Martinez 2000 Topps Gold Label Class 2 #34 NM-MT OR BETTER Boston Red Sox,2.4,,2.4,2.4,2,Browse BIN | Browse (Merged) | Active median P1,
336086208083,Derek Jeter 2002 Topps Gold Label #2 New York Yankees Legend HOF,21.15,,1.99,12.69,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335938986797,Mike Trout 2014 Topps Heritage #250 NM-MT OR BETTER  Los Angeles Angels,24.25,7.99,7.99,14.55,1,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236168862850,Justin Herbert 2022 Zenith 1992 Pacific Blue #PAC-3 Los Angeles Chargers,4.26,,1.99,2.56,10,Browse BIN | ActiveCache (Merged) | Active median P1,Updated successfully (business policy warning only)
336177495048,Barry Sanders 1993 Score The Franchise #8 NM-MT OR BETTER Detroit Lions,9.99,,1.98,5.99,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336277786729,Kevin Garnett 1996-97 E-X2000 #40 Minnesota Timberwolves,10.27,,,6.16,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
335935342834,Rickey Henderson 1981 Fleer #574 NM-MT OR BETTER Marked,8.8,4.24,2.24,5.28,14,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236079886808,Mike Trout 2014 Topps Gypsy Queen SP #349 Los Angeles Angels,9.75,6.88,4.1,5.85,7,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236419171682,Emmitt Smith 1995 Ultra Ultra Stars Gold Medallion #9 Dallas Cowboys HOF,10.59,,2.99,6.35,9,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236200831504,Barry Sanders 1995 Stadium Club Extreme Corps Diffraction #x190 Detroit Lions,9.9,,,5.94,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236003144169,Alex Rodriguez 2013 Topps Heritage #69 NM-MT OR BETTER New York Yankees,4.15,2.37,1.98,2.49,5,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335936878278,Rickey Henderson 1993 Leaf #291 NM-MT OR BETTER Oakland Athletics,2.45,1.94,2.25,2.25,17,Browse BIN | Browse (Merged) | Active median P1,
336136762892,Derek Jeter 1997 SkyBox E-X2000 Star Date 2000 #7 New York Yankees,19.1,,3.99,11.46,7,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
235995416290,Nolan Ryan 1996 Pacific Advil Nolan Ryan Retail #2a Texas Rangers,2.0,2.49,2.49,2.49,21,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336255881959,Emmitt Smith / Curtis Martin 1996 Fleer Ultra Sensations Creative Chaos #3,19.99,,,,0,No solds | No actives | No data,
336277786731,Allen Iverson 1996-97 Finest Apprentice w/Coating RC #69 Philadelphia 76ers,21.99,,,13.19,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236223184697,Derek Jeter 2004 Fleer Legacy #2 New York Yankees Legend HOF,2.69,,2.24,2.25,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335971265950,Emmitt Smith 1998 SPx Steel #12 MINT Dallas Cowboys,9.99,,3.19,5.99,8,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236049202477,Marcus Camby 1997-98 E-X2001 #10 Toronto Raptors,19.45,,2.84,11.67,3,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336233038601,Peyton Manning 1998 Collector's Edge First Place Triple Threat #21,11.0,9.0,5.99,6.6,10,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236400723688,Emmitt Smith 1993 Superstars Promo Card Oddball RARE #NNO,99.99,,,59.99,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236409499368,Emmitt Smith 1994 Topps Special Effects #547 Dallas Cowboys,14.99,3.31,2.5,8.99,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236398857659,Ken Griffey Jr. 2023 Topps Allen & Ginter #17 Cincinnati Reds,2.79,3.35,1.99,1.99,27,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
